investor_id,investor_name,investor_type,nationality,investment_strategy,total_investments,total_value_aed,active_since,preferred_areas,risk_score,liquidity_score
651f23db-bc5b-42dc-b708-c4ab6985e468,Investor_5227,REIT,China,Mixed Portfolio,20,96207723,2022-03-29,"Arabian Ranches,City Walk,Downtown Dubai,Sports City",0.44,0.96
339790bb-911d-4a7d-9a34-576da12244ba,Investor_4471,Family Office,Russia,Mixed Portfolio,4,30381121,2020-05-23,"Studio City,Downtown Dubai",0.83,0.52
84938a1a-feab-4977-9cd9-499f523fb629,Investor_7637,Fund,Russia,Flip,4,50858951,2017-07-16,"Emirates Living,City Walk,Jumeirah Village Circle,Dubai Marina",0.17,0.64
c5b8d01d-2dd9-4a46-9a6a-2006e86c0dd0,Investor_1459,Fund,Pakistan,Development,11,73688015,2023-08-06,Emirates Living,0.64,0.78
6abb7eab-f0b4-4689-a465-2a52a9cdc2c2,Investor_4075,Fund,France,Flip,41,5344197,2022-02-04,"Downtown Dubai,Dubai Marina,Motor City",0.14,0.38
6e0f7876-7cb3-4599-b843-7595775a1e36,Investor_1138,Fund,USA,Development,26,68137866,2022-08-09,"Jumeirah Beach Residence,Palm Jumeirah,Dubai Investment Park",0.73,0.19
239ddd33-fcf2-4928-92d5-a8fa92d3ccb0,Investor_9250,REIT,Saudi Arabia,Mixed Portfolio,50,21157712,2024-07-10,"Jumeirah Beach Residence,Motor City,Dubai Marina,Dubai Investment Park,Downtown Dubai",0.24,0.52
102f41c2-8073-429d-961d-3a0c24be3268,Investor_2528,Family Office,Pakistan,Flip,44,88807942,2023-03-19,"Sports City,Studio City",0.99,0.65
2cb73594-0200-4360-9933-13881087b815,Investor_6593,Government,Germany,Flip,22,40036097,2020-10-01,"International City,Dubai Marina,Jumeirah Beach Residence,Jumeirah Village Circle,Discovery Gardens",1.0,0.65
6ff94258-8963-4fc3-bdbc-1649091bcc65,Investor_9151,Company,Saudi Arabia,Buy & Hold,10,42546065,2018-08-27,Motor City,0.18,0.38
9a8543db-f5d9-4244-b3c9-622894a35a44,Investor_3645,Fund,Saudi Arabia,Development,37,49765094,2020-10-29,Downtown Dubai,0.26,0.79
0655d73c-5eb3-4f45-b69f-d8a1120bd195,Investor_8753,Fund,UK,REIT,42,19850509,2023-05-27,"Motor City,Dubai Marina,Palm Jumeirah,International City,Dubai Investment Park",0.46,0.87
1150668e-17ac-4320-a3d4-d1574c19415e,Investor_3113,Family Office,Germany,Development,33,84836675,2021-04-10,"Downtown Dubai,International City,Discovery Gardens",0.34,0.89
6be4ba7b-83aa-44cc-b8a4-7fe7d4fa7871,Investor_1699,Family Office,China,Buy & Hold,48,33858752,2016-12-10,"Business Bay,Dubai Investment Park,Jumeirah Village Circle,Sports City,Emirates Living",0.24,0.46
9a8ad807-4558-4fde-a941-1effd820e61a,Investor_4654,Individual,Russia,REIT,43,13549776,2020-11-16,"Discovery Gardens,Studio City,Jumeirah Village Circle,Dubai Marina",0.26,0.2
1bab3f7e-70a5-4ff8-8b1d-00c10dae4b62,Investor_8096,REIT,Pakistan,REIT,22,9653222,2021-03-26,"Motor City,Emirates Living,Studio City",0.2,0.51
cfa6e9aa-a8e3-4e31-b33d-21e6ddc68d50,Investor_3551,Government,Germany,Flip,41,29651477,2021-03-14,"Dubai Marina,Jumeirah Beach Residence,Studio City,Discovery Gardens,Sports City",0.43,0.49
34e9403b-2067-4959-a5ed-a00ef5ac708b,Investor_4496,REIT,UAE,Flip,2,92760827,2020-01-18,"City Walk,Arabian Ranches,Downtown Dubai",0.23,0.35
b6004592-8c3d-48d5-993b-59fc1cafce06,Investor_5887,Individual,Germany,REIT,34,29736673,2017-04-13,"Arabian Ranches,Dubai Marina,Downtown Dubai",0.91,0.49
9634c5d3-c7d4-4e75-bdc9-cc346f3792cd,Investor_3695,Fund,Pakistan,Development,27,65642647,2019-06-17,"Arabian Ranches,International City,Palm Jumeirah,Discovery Gardens,Motor City",0.61,0.84
620ef5ce-42f1-4129-922c-05c0c04b1fbb,Investor_4253,Government,Saudi Arabia,Mixed Portfolio,40,20410197,2021-02-27,"Business Bay,Dubai Investment Park,Discovery Gardens",0.94,0.55
49082bbf-8ef8-47ad-be53-318bd2f568f1,Investor_2861,Fund,Russia,Development,34,97943591,2024-09-30,"Dubai Investment Park,Discovery Gardens,Jumeirah Village Circle,Business Bay",0.3,0.98
5a0fa003-4268-4a09-88ad-2a646ee5ed95,Investor_9947,REIT,India,Mixed Portfolio,25,30009455,2020-11-20,"Emirates Living,Business Bay",0.43,0.43
3d744ef6-bd8e-40b1-afe9-c7443283014a,Investor_6029,Fund,France,Buy & Hold,45,67992183,2017-07-07,"International City,Studio City,Palm Jumeirah,Arabian Ranches",0.85,0.48
c43b1002-374b-4caa-bafd-a3878bb69b60,Investor_2857,Fund,India,REIT,28,51079518,2022-10-22,"Arabian Ranches,International City,Jumeirah Beach Residence,Dubai Investment Park,Sports City",0.69,0.71
876b664b-3f23-4b9d-9b7a-b185eedf93b3,Investor_5640,Family Office,China,Buy & Hold,6,14933416,2023-10-14,International City,0.19,0.77
72e62331-4008-48fb-aeff-6c9fabdc9f5c,Investor_9924,Government,Saudi Arabia,REIT,33,79011850,2024-06-04,"International City,Emirates Living,Dubai Hills Estate",0.8,0.6
cd7a0fc5-3cd8-4040-a00d-c0d7122949e1,Investor_4204,Individual,Germany,Buy & Hold,23,63269929,2020-02-28,"Business Bay,Palm Jumeirah,Dubai Hills Estate,City Walk",0.36,0.89
c303bf0e-c676-4f6f-80df-66601980e009,Investor_6036,Fund,Russia,Flip,1,56640853,2024-06-04,Business Bay,0.24,0.44
8f2dfc77-ef0e-4733-b552-52be961b0655,Investor_6201,Government,USA,Flip,37,58716265,2022-01-29,"Jumeirah Beach Residence,Emirates Living,Studio City,International City,Business Bay",0.82,0.62
50ce743b-9c15-473d-8a71-81c2488f5d9d,Investor_7396,Company,India,REIT,21,70427754,2023-01-06,"Dubai Hills Estate,Jumeirah Village Circle,Dubai Investment Park,City Walk",0.21,0.62
dc1f6bb2-8d4f-4eaa-b9a8-71377ccab3ff,Investor_5263,REIT,France,Flip,21,28348550,2023-09-30,Business Bay,0.49,0.67
473ecebf-9d82-4cef-9331-276535290784,Investor_3507,Government,UAE,Mixed Portfolio,46,73970485,2023-11-28,"Jumeirah Beach Residence,Business Bay,Dubai Investment Park,Dubai Hills Estate,Jumeirah Lake Towers",0.67,0.42
df2e893a-a96d-4a65-b681-3f1874721b39,Investor_4633,Company,UK,Flip,35,33917490,2016-08-24,"City Walk,Dubai Marina,Studio City,Sports City",0.94,0.66
a5d58dd8-f932-4d54-84e1-7288cbf57ca5,Investor_2694,Family Office,Saudi Arabia,REIT,39,17466411,2023-08-04,"DIFC,City Walk",0.91,0.18
34cd9f02-4d30-42ce-816a-37ce16459f87,Investor_6921,REIT,Pakistan,REIT,7,66905864,2015-11-14,International City,0.17,0.96
d55de524-c4f4-4403-ae6e-29afde67fa92,Investor_4445,Individual,Russia,REIT,21,86033882,2019-09-26,"Arabian Ranches,DIFC",0.11,0.26
50592726-3af0-4ed0-bd89-9b4ad77ab386,Investor_1515,Government,Saudi Arabia,Development,23,65949433,2017-11-27,"Studio City,Business Bay,Arabian Ranches,City Walk,Palm Jumeirah",0.33,0.21
6a59cd00-5296-4035-b66c-94540fd1acd5,Investor_1484,Government,France,Buy & Hold,34,69685213,2016-04-04,"Emirates Living,Palm Jumeirah",0.2,0.3
b290046f-a801-43e4-a13d-a978f5964d1e,Investor_3270,Fund,Pakistan,Buy & Hold,47,93825211,2023-05-16,"City Walk,Motor City,Emirates Living",0.96,0.41
b9e46948-2a9d-4db7-9bb4-2bef7d613721,Investor_5822,Government,Germany,REIT,28,69807596,2020-04-21,"City Walk,Arabian Ranches",0.28,0.86
2a7c61dc-f289-4875-bce9-af0ba0c48ea3,Investor_5605,Family Office,Russia,Buy & Hold,38,79863503,2021-04-18,"Emirates Living,Motor City",0.49,0.5
cf7bb4b7-4fd0-4e4a-ab1b-cc664e822399,Investor_5451,Government,USA,Mixed Portfolio,7,82509842,2020-06-30,"Emirates Living,Palm Jumeirah,Sports City,Discovery Gardens",0.67,0.16
dab879ff-4296-4422-965a-94613a63d98a,Investor_1553,Company,France,Development,38,56003534,2021-07-01,"Sports City,Palm Jumeirah,Jumeirah Beach Residence,Business Bay,Dubai Marina",0.26,0.39
2668d6fb-5811-4db0-a5f2-d0c06e4091bc,Investor_6861,Company,Pakistan,Buy & Hold,14,89174955,2020-08-15,"Dubai Investment Park,Jumeirah Lake Towers,Jumeirah Village Circle",0.11,0.72
08e06156-195c-475b-a0ac-7fe7d652816c,Investor_6388,Family Office,Pakistan,REIT,37,44159218,2022-03-08,"Downtown Dubai,Jumeirah Beach Residence,DIFC,Motor City,Jumeirah Village Circle",0.57,0.19
6d8512e3-9ee0-4755-8810-a541098e00c7,Investor_2225,Fund,China,REIT,44,59412302,2021-03-24,"Emirates Living,Studio City,Dubai Marina",0.82,0.55
b7772605-4962-4c2b-afcc-067c4d697f24,Investor_7901,Fund,Saudi Arabia,Buy & Hold,29,23969985,2018-01-17,"Jumeirah Beach Residence,Dubai Hills Estate,Business Bay",0.36,0.68
4703a9e0-0360-4b3e-9ecb-eae89784256d,Investor_1076,Government,Germany,Development,9,55064349,2024-05-17,"Sports City,Dubai Marina,Jumeirah Lake Towers,Motor City,Business Bay",0.16,0.19
7e5f494a-108a-4aea-a8af-602c930a6f66,Investor_5931,REIT,UK,Development,49,47415774,2020-04-20,Studio City,0.8,0.54
4ade290b-947c-4613-9840-f738ca049894,Investor_7444,Individual,UK,REIT,32,87046600,2023-06-06,"Jumeirah Village Circle,Business Bay,Dubai Hills Estate",0.14,0.11
cc429953-6208-4113-be12-0de837c1a6d0,Investor_6289,Individual,Russia,Flip,11,12813404,2022-08-25,"Studio City,Business Bay,Dubai Marina",0.33,0.81
e915a4b3-35ae-4e17-b37a-d94cc1a3de92,Investor_1786,Individual,UK,Buy & Hold,17,45201786,2017-01-28,"Jumeirah Beach Residence,City Walk,Arabian Ranches,Discovery Gardens,Downtown Dubai",0.63,0.21
833ca861-e9f4-4191-af25-0e7bce96f0d4,Investor_3424,Fund,China,REIT,41,60965761,2017-04-18,Sports City,0.57,0.62
15bad498-bc03-4262-a6d4-ee29b42d2e46,Investor_9029,Family Office,UK,Development,50,99094983,2019-05-18,"Downtown Dubai,City Walk",0.79,0.74
bb268312-e303-4938-a393-ba429f41c325,Investor_4971,Fund,Pakistan,Buy & Hold,5,67384860,2024-02-12,"Business Bay,Emirates Living",0.52,0.45
2bcc6a3b-fdf8-4111-b027-bc2eba8a22ab,Investor_2712,REIT,USA,Flip,38,71819264,2019-01-10,"DIFC,Discovery Gardens,Dubai Investment Park",0.86,0.2
62a7f05f-6417-4b97-9bf4-b50b46db8c10,Investor_4584,Company,USA,REIT,29,84279154,2019-01-12,"Jumeirah Beach Residence,Emirates Living",0.16,0.48
01525157-f0fe-4651-a122-1a610ee2a4d7,Investor_6032,Family Office,China,Buy & Hold,10,62868214,2023-08-04,Dubai Hills Estate,0.11,0.51
4e7d2c00-282b-47b4-8733-52835f36ca45,Investor_1468,Fund,Germany,Mixed Portfolio,29,48238845,2021-10-24,Studio City,0.18,0.49
b4ccdf82-7155-48f1-bd81-cd788fbc1e0f,Investor_7503,Company,France,REIT,33,45793758,2024-03-12,"City Walk,Palm Jumeirah,Jumeirah Village Circle,Business Bay",0.68,0.76
f9eb9cc1-2fe9-47eb-916a-24f6d91b432a,Investor_4177,REIT,UK,Flip,26,24708904,2018-02-16,"Sports City,Motor City,International City",0.2,0.14
515b9adf-7ec1-4f8d-97eb-e2b252f6cdd9,Investor_2819,Company,Pakistan,Buy & Hold,4,5789956,2018-05-04,"Dubai Hills Estate,Downtown Dubai,Jumeirah Village Circle",0.35,0.89
447f2167-f3ad-488e-a798-10d972be5103,Investor_7628,Family Office,Russia,REIT,7,30512907,2016-07-23,"Motor City,Emirates Living,Arabian Ranches",0.81,0.41
15656b1a-0a13-482c-ab6d-f77e84329596,Investor_5718,Fund,UAE,Buy & Hold,12,68543749,2016-12-07,"Motor City,DIFC,Dubai Hills Estate,Downtown Dubai,Arabian Ranches",0.71,0.25
f28669f8-8421-4588-8e14-3b8d685a3a9a,Investor_8458,Fund,India,Buy & Hold,43,64699826,2019-12-29,"Business Bay,Arabian Ranches,City Walk",0.89,0.25
30879be2-4183-4b6c-b718-ec25cdaa7957,Investor_6769,Individual,Germany,Mixed Portfolio,1,66539501,2022-01-06,"Jumeirah Village Circle,Dubai Marina,Business Bay,DIFC",0.71,0.36
fb3b3c89-05fc-4641-a2c5-bf96a548d0c6,Investor_9606,Company,France,Flip,49,20674031,2016-02-05,Jumeirah Village Circle,0.37,0.76
10aa0899-b0b4-440a-9eff-690ba4ffccba,Investor_9039,REIT,USA,Mixed Portfolio,17,90041184,2019-05-03,"Palm Jumeirah,Discovery Gardens,Business Bay",0.84,0.37
64f95b9a-f444-4199-9683-a652458327ba,Investor_9484,Fund,China,REIT,8,37230390,2017-02-06,"Business Bay,Dubai Investment Park,International City,Motor City,Jumeirah Village Circle",0.69,0.23
910a20ae-ab2c-4f31-ad72-e76391542cc2,Investor_1506,REIT,Pakistan,Mixed Portfolio,48,94389511,2019-12-17,"Emirates Living,Downtown Dubai,Studio City",0.93,0.44
7555a23a-7650-43ad-8fb7-cdbc0585ea83,Investor_5487,Individual,France,REIT,34,24481693,2021-10-25,"Jumeirah Lake Towers,Jumeirah Beach Residence,International City",0.95,0.35
73ff301a-e63f-430e-9fb4-2e38a1e5d36e,Investor_1673,Company,China,Mixed Portfolio,45,47073515,2017-12-03,International City,0.82,0.61
d027e346-73ee-4a42-9187-f7e2982e3a2d,Investor_5725,Fund,Saudi Arabia,Buy & Hold,32,93009836,2023-02-21,"Dubai Investment Park,Sports City,DIFC,Motor City",0.6,0.25
aa37b484-0ec0-40b2-876a-28f143d3cd2a,Investor_5722,REIT,Saudi Arabia,Development,1,61915814,2024-05-01,"DIFC,Jumeirah Village Circle",0.15,0.38
a27e4a0a-b061-4462-9acd-f9040248ff7d,Investor_6771,REIT,UAE,Buy & Hold,17,19484302,2020-11-11,"Sports City,Dubai Investment Park,Downtown Dubai",0.74,0.23
b4a46dc4-d6fd-4736-9879-ca18e40cacf5,Investor_4223,Family Office,Russia,Mixed Portfolio,6,40030787,2022-05-03,Motor City,0.94,0.32
a8f4f41b-af5a-4ddf-bbeb-d05dcf39bf8c,Investor_7328,Family Office,Russia,REIT,7,36065845,2021-05-27,"DIFC,Arabian Ranches,International City,Jumeirah Lake Towers,Sports City",0.82,0.23
8d27d6ba-517c-4d86-939b-332db122e91f,Investor_5096,Company,India,REIT,36,27779547,2021-05-31,"Downtown Dubai,DIFC,Discovery Gardens",0.59,0.44
8de107f2-dafe-458b-ab98-2f0e11dc9879,Investor_2573,REIT,India,Mixed Portfolio,29,94165006,2021-04-11,"Palm Jumeirah,Discovery Gardens,Studio City,Emirates Living,Dubai Hills Estate",0.48,0.47
3f609de6-c9f9-45d6-994d-2cb33bc6b79c,Investor_1432,Individual,Russia,Buy & Hold,49,19869078,2017-11-22,"Dubai Hills Estate,Sports City,Palm Jumeirah",0.21,0.59
78a8ddf2-5b33-44d1-8c22-641908a393b0,Investor_5806,Government,UAE,REIT,9,55081976,2017-04-11,Discovery Gardens,0.83,0.89
feb4c48a-f121-4c81-8699-29c3974b014c,Investor_1890,REIT,Saudi Arabia,Buy & Hold,18,88225409,2023-08-04,"Jumeirah Village Circle,DIFC,Motor City",0.72,0.88
6b1f4c13-94be-4575-aaa2-b11312ba674d,Investor_9369,Individual,UAE,Flip,34,20347740,2018-06-27,"Dubai Investment Park,Dubai Hills Estate,Studio City,Motor City",0.67,0.75
7106265d-1b7a-46a7-add7-de3367790b6a,Investor_8945,Individual,China,Flip,8,10011655,2024-10-15,"Jumeirah Village Circle,Sports City",0.19,0.28
647f5d56-5528-4ba1-bc79-ffcf5193310d,Investor_1403,REIT,France,REIT,26,8469640,2023-06-05,"Jumeirah Beach Residence,Motor City,Arabian Ranches",0.84,0.86
09197cb8-f12a-4759-ae19-6c4ef4248201,Investor_5264,Government,China,REIT,43,83833614,2023-05-30,"Dubai Investment Park,Business Bay,Arabian Ranches,Downtown Dubai",0.84,0.69
0c0d90ee-f8e7-4085-bb7b-c689e023d562,Investor_9380,Company,France,Flip,31,65487117,2021-07-16,"Jumeirah Village Circle,Motor City,Palm Jumeirah",0.7,0.45
f5490115-9d70-4b89-ab14-c091ba90cad2,Investor_2758,Family Office,Germany,REIT,28,20886575,2024-06-23,"Discovery Gardens,Jumeirah Village Circle,Jumeirah Beach Residence",0.11,0.37
a0b71d9c-ed6e-4a62-8fa9-26a0acea748a,Investor_8282,Family Office,UAE,Development,9,63801428,2016-09-06,"City Walk,Business Bay,Arabian Ranches,Motor City",0.55,0.87
59424e45-b92f-4d75-902d-6ace3f1cbebf,Investor_6715,Company,France,REIT,33,9424279,2022-11-01,"Palm Jumeirah,Jumeirah Lake Towers",0.51,0.87
c27e6f46-5a0d-44d2-91c4-e027715e18f5,Investor_5560,Company,UK,REIT,5,87588420,2019-05-14,"Motor City,Arabian Ranches,City Walk,Downtown Dubai",0.73,0.63
6305517a-7048-4232-986b-137dfedf5252,Investor_6703,Government,China,Mixed Portfolio,26,10069088,2024-04-14,Arabian Ranches,0.31,0.7
af5e64dd-47d4-4454-8f3c-f4e60b9adcc6,Investor_8805,REIT,USA,Flip,50,99334222,2015-11-14,"Jumeirah Village Circle,Arabian Ranches",0.76,0.45
6875258c-e630-493d-bf70-3a7fedfed532,Investor_2054,REIT,UAE,Mixed Portfolio,17,16364411,2024-05-15,Discovery Gardens,0.79,0.65
4c560bdc-943c-4c61-8d72-6b9a3366c8ad,Investor_3851,Individual,USA,Buy & Hold,45,61332161,2020-07-22,"Studio City,Emirates Living",0.28,0.54
62e81488-6d63-4903-a960-938cecfce276,Investor_5687,Family Office,Pakistan,Flip,48,22755295,2019-12-04,"Emirates Living,Downtown Dubai,Business Bay,Jumeirah Lake Towers,Discovery Gardens",0.19,0.13
5bfa9016-4c6a-48cb-870b-320f36c5bd12,Investor_1085,Company,USA,REIT,37,74360838,2023-12-26,"Arabian Ranches,Sports City,Motor City",0.27,0.29
b4098fa3-5e95-4252-a86f-885c8e40aa2b,Investor_9205,REIT,USA,Development,40,75987083,2023-03-31,Discovery Gardens,0.48,0.44
3f4541b6-2e36-4baa-a393-20111a313b88,Investor_2280,Individual,India,Mixed Portfolio,20,14544314,2023-06-20,"Dubai Hills Estate,Dubai Marina,Jumeirah Lake Towers,Business Bay",0.3,0.95
f2dc781e-2dc0-43ef-8d15-cbbcdd9eca88,Investor_7396,Fund,USA,Buy & Hold,11,39663966,2023-12-14,"Dubai Hills Estate,Sports City,DIFC,Emirates Living,Motor City",0.15,0.73
c599eb67-334b-42a2-9b12-2af5b551243f,Investor_8716,Individual,UK,Buy & Hold,3,46371664,2020-01-24,"Emirates Living,Jumeirah Lake Towers,Dubai Marina",0.23,0.59
fd447278-f050-4d0f-acb5-702068d87a43,Investor_6400,Family Office,UAE,Flip,32,10786069,2018-06-20,"Dubai Marina,Palm Jumeirah,Downtown Dubai,Emirates Living,DIFC",0.77,0.94
959c0ae3-30b8-4ee0-8fb7-b765e1662c1d,Investor_8844,Government,India,Development,47,6602379,2023-08-16,Motor City,0.56,0.69
05eaa714-39ae-40e5-995b-a7280e11b17b,Investor_8824,REIT,UK,Flip,2,8429830,2024-06-30,"Studio City,Jumeirah Beach Residence",0.71,0.76
cfc307dc-c91b-4376-b0e8-8b5ed06e8ae7,Investor_8899,Government,UAE,REIT,50,51630659,2016-12-28,"International City,Studio City",0.59,0.2
11552dd8-741f-4596-897b-d7476311eae5,Investor_7024,Individual,USA,Flip,22,59589370,2024-02-21,"Dubai Hills Estate,Downtown Dubai",0.63,0.3
100a798c-d42e-409a-a193-a97b9a286b90,Investor_9785,Family Office,China,Buy & Hold,1,97613524,2021-12-27,Downtown Dubai,0.15,0.49
48d3494c-1eff-46c7-af42-065fe7a183de,Investor_1716,Fund,USA,Development,39,88940656,2022-01-19,"Dubai Investment Park,Jumeirah Beach Residence,Motor City",0.69,0.69
9c5b84a4-6c5f-4b34-a345-1ea66a4bbade,Investor_5099,Individual,France,Flip,32,95657748,2016-07-18,"Dubai Hills Estate,Discovery Gardens,DIFC",0.95,0.8
ee88a4ea-f144-4f84-a001-5b0c9c010066,Investor_5001,Fund,France,Development,21,94653330,2018-09-20,"Jumeirah Village Circle,Dubai Marina,Palm Jumeirah,Discovery Gardens,Emirates Living",0.73,0.66
0f0fbdbe-a7fc-473a-87c7-5476637a0ff7,Investor_2285,Fund,Pakistan,Flip,34,31942008,2021-05-15,"Emirates Living,Jumeirah Village Circle,Palm Jumeirah,Motor City,International City",0.81,0.13
687bf905-e478-4817-b9a8-0e41a1108cde,Investor_8213,Company,Germany,Buy & Hold,2,67962229,2024-05-30,"City Walk,Jumeirah Beach Residence,DIFC",0.84,0.18
11ce3047-7b2c-4a0b-a118-d52fc269b557,Investor_7290,Fund,Germany,Buy & Hold,25,52628627,2019-10-24,Dubai Hills Estate,0.29,0.27
9119b245-ef05-4747-bba9-19f14a6016ff,Investor_9724,REIT,UAE,Development,3,73685498,2016-03-26,"Business Bay,Jumeirah Lake Towers,City Walk",0.83,0.63
7d86a865-26f0-4a0f-882b-da9dc5a846a5,Investor_6586,Individual,China,REIT,28,98875074,2016-07-17,Jumeirah Village Circle,0.6,0.96
331a882c-3fe9-4b59-bc85-4ddc3cb62f42,Investor_5709,Family Office,France,REIT,28,77853413,2016-09-22,"Sports City,City Walk,Arabian Ranches,Emirates Living,Dubai Hills Estate",0.77,0.93
7d7ee87d-1ebb-4aae-9b40-1e9231afc0eb,Investor_1248,Company,UK,Development,6,34545387,2016-02-21,"DIFC,Jumeirah Lake Towers,Jumeirah Beach Residence,Business Bay,Studio City",0.35,0.34
e7f1a49c-3bea-429c-8da9-960f3ff5470e,Investor_1202,Fund,Saudi Arabia,Development,37,89687917,2021-03-11,"Arabian Ranches,Discovery Gardens,Sports City",0.12,0.11
9f40c43e-4960-4519-a106-91e0a6211c04,Investor_6877,Individual,Germany,Mixed Portfolio,14,55842825,2024-02-19,"Downtown Dubai,City Walk,Jumeirah Lake Towers,Dubai Marina,Dubai Hills Estate",0.26,0.79
6ce5f915-2983-4db9-b555-01e20367ac7e,Investor_5252,Fund,Germany,Flip,15,85602558,2022-11-01,"Dubai Marina,Dubai Hills Estate",0.2,0.13
278407c5-30f2-4236-87d0-f55eebf6fb28,Investor_9302,Family Office,Germany,Mixed Portfolio,21,6631183,2018-08-02,"Dubai Marina,City Walk",0.98,0.11
893d2888-b767-4e99-9bfc-bb6e0796584a,Investor_9854,Fund,UAE,Mixed Portfolio,16,47939919,2023-07-26,Sports City,0.5,0.56
e3a3745c-b8f1-4bea-ad1f-598eaeca60dc,Investor_4343,Company,USA,Mixed Portfolio,24,92404455,2020-02-16,International City,0.89,0.23
a32539ce-c9a0-4f86-a7e3-137b3d083e8b,Investor_6902,Fund,USA,REIT,42,51293477,2019-07-07,"Business Bay,Arabian Ranches,Palm Jumeirah",0.14,0.94
12d9c753-3ba2-4edb-b738-d4bb96a61a00,Investor_1418,Government,Saudi Arabia,Mixed Portfolio,14,43024344,2019-01-23,"Palm Jumeirah,Emirates Living,Jumeirah Beach Residence,International City,DIFC",0.13,0.75
